id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1336390619409895430,1336390619409895430,2020-12-08 16:22:07 -03,2020-12-08,16:22:07,-0300,105155795,marinasilva,Marina Silva,,"Das 5.567 cidades brasileiras que já realizaram eleições este ano, apenas 44 terão maioria de mulheres na Câmara Municipal. Ampliar a representação das mulheres na política é um passo fundamental no enfrentamento da desigualdade de gênero.  https://t.co/8MS6Urxsr9",pt,[],['https://www1.folha.uol.com.br/poder/2020/12/apenas-44-cidades-do-pais-terao-maioria-de-mulheres-nas-camaras-municipais.shtml'],[],4,14,115,[],[],https://twitter.com/MarinaSilva/status/1336390619409895430,False,,0,,,,,,,,[],,,,
1336359695985106945,1336359695985106945,2020-12-08 14:19:14 -03,2020-12-08,14:19:14,-0300,105155795,marinasilva,Marina Silva,,"Que a vacina contra a covid-19 possa significar um novo momento para nossa convivência humana. Como disse Margaret Keenan de 90 anos, a 1ª vacinada no Reino Unido: “foi o melhor presente de aniversário pq finalmente posso ver minha família depois de ficar sozinha o ano inteiro”.",pt,[],[],[],5,31,558,[],[],https://twitter.com/MarinaSilva/status/1336359695985106945,False,,0,,,,,,,,[],,,,
1336329765620391945,1336329762667524099,2020-12-08 12:20:18 -03,2020-12-08,12:20:18,-0300,105155795,marinasilva,Marina Silva,,O legado de Marielle segue vivo e com ele permanece o imperativo de que a justiça seja feita. #1000DiasSemMarielle,pt,[],[],[],5,8,162,['1000diassemmarielle'],[],https://twitter.com/MarinaSilva/status/1336329765620391945,False,,0,,,,,,,,[],,,,
1336329764156493831,1336329762667524099,2020-12-08 12:20:18 -03,2020-12-08,12:20:18,-0300,105155795,marinasilva,Marina Silva,,"As causas de Marielle seguem vivas no mandato corajoso de outras mulheres, como Talíria Petrone, Renata Souza, Mônica Francisco, Dani Monteiro e Monica Benício. Apesar das ameaças, elas se mantêm firmes na defesa dos mais pobres, dos negros e das mulheres. #1000DiasSemMarielle",pt,[],[],[],3,9,188,['1000diassemmarielle'],[],https://twitter.com/MarinaSilva/status/1336329764156493831,False,,0,,,,,,,,[],,,,
1336329762667524099,1336329762667524099,2020-12-08 12:20:17 -03,2020-12-08,12:20:17,-0300,105155795,marinasilva,Marina Silva,,O assassinato de Marielle Franco e Anderson Gomes completa mil dias sem resposta. A pergunta segue entalada na garganta: quem mandou matar Marielle e por qual motivo? #1000DiasSemMarielle,pt,[],[],[],9,80,710,['1000diassemmarielle'],[],https://twitter.com/MarinaSilva/status/1336329762667524099,False,,0,,,,,,,,[],,,,
1336080138560303106,1336080138560303106,2020-12-07 19:48:22 -03,2020-12-07,19:48:22,-0300,105155795,marinasilva,Marina Silva,,"A decisão da maioria dos ministros do STF de barrar a reeleição para presidência da Câmara e do Senado, na mesma legislatura, reforça o que está na Constituição e resguarda a instituição de possíveis ataques de se mover por pressões políticas externas.  https://t.co/EDV8Sp97bI",pt,[],['https://veja.abril.com.br/blog/matheus-leitao/o-brasil-ganhou-diz-ex-ministro-ayres-britto-sobre-decisao-do-stf/'],[],13,10,201,[],[],https://twitter.com/MarinaSilva/status/1336080138560303106,False,,0,,,,,,,,[],,,,
1336043838847246336,1336043838847246336,2020-12-07 17:24:08 -03,2020-12-07,17:24:08,-0300,105155795,marinasilva,Marina Silva,,É emocionante a notícia de que o líder indígena e xamã yanomami Davi Kopenawa foi eleito membro da Academia Brasileira de Ciências. É um importante reconhecimento do valor da sua sabedoria ancestral e da floresta no diálogo com o pensamento científico.   https://t.co/6vtXV4hDIy,pt,[],['https://conexaoplaneta.com.br/blog/davi-kopenawa-lider-e-xama-yanomami-e-eleito-membro-da-academia-brasileira-de-ciencias/'],[],5,99,697,[],[],https://twitter.com/MarinaSilva/status/1336043838847246336,False,,0,,,,,,,,[],,,,
1336043077409136643,1336043075852972033,2020-12-07 17:21:06 -03,2020-12-07,17:21:06,-0300,105155795,marinasilva,Marina Silva,,"Atitudes dessa natureza não podem ficar impunes, a justiça precisa avançar na punição exemplar desses abusos e ultrajes contra a dignidade humana e a democracia.",pt,[],[],[],2,8,147,[],[],https://twitter.com/MarinaSilva/status/1336043077409136643,False,,0,,,,,,,,[],,,,
1336043075852972033,1336043075852972033,2020-12-07 17:21:06 -03,2020-12-07,17:21:06,-0300,105155795,marinasilva,Marina Silva,,"Minha solidariedade à @caroldartora13, primeira mulher negra eleita para a câmara de vereadores de Curitiba. Temos que ser firmes contra as ameaças criminosas repletas de ódio e racismo.",pt,"[{'screen_name': 'caroldartora13', 'name': 'carol dartora', 'id': '1016697971843502080'}]",[],[],4,21,423,[],[],https://twitter.com/MarinaSilva/status/1336043075852972033,False,https://twitter.com/caroldartora13/status/1335604823551520768,0,,,,,,,,[],,,,
1335968371083456513,1335968368642453509,2020-12-07 12:24:15 -03,2020-12-07,12:24:15,-0300,105155795,marinasilva,Marina Silva,,"Esse tipo de atrocidade contra nossas crianças não pode ficar impune exige investigação e punição rigorosas. Por mais que percebamos o quanto a notícia é brutal, não conseguimos imaginar o tamanho da dor dos familiares. Peço a Deus que possa confortá-los de tamanho sofrimento.",pt,[],[],[],4,9,180,[],[],https://twitter.com/MarinaSilva/status/1335968371083456513,False,,0,,,,,,,,[],,,,
