id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1331398445345763331,1331398445345763331,2020-11-24 21:45:00 -03,2020-11-24,21:45:00,-0300,18048666,brunocovas,Bruno Covas,,"O momento requer união. São nossas diferenças que nos fazem únicos, nos fazem fortes. É hora de agir e reagir. Vamos defender a nossa cidade. Estamos unidos para fazer história, para moldar o presente e construir o futuro. Vamos juntos, todos por São Paulo!",pt,[],[],[],378,69,1086,[],[],https://twitter.com/brunocovas/status/1331398445345763331,False,,0,,,,,,,,[],,,,
1331383345935093762,1331383345935093762,2020-11-24 20:45:00 -03,2020-11-24,20:45:00,-0300,18048666,brunocovas,Bruno Covas,,"Quando assumimos a Prefeitura, o tempo médio de espera para um tapa-buraco era de 100 dias. Hoje, o prazo caiu para cerca de 10 dias. Em parceria com as Subprefeituras, seguiremos investindo em zeladoria. Cuidar de São Paulo é a nossa missão.",pt,[],[],[],199,48,732,[],[],https://twitter.com/brunocovas/status/1331383345935093762,False,,0,,,,,,,,[],,,,
1331081454558851074,1331081454558851074,2020-11-24 00:45:23 -03,2020-11-24,00:45:23,-0300,18048666,brunocovas,Bruno Covas,,"Vamos continuar trabalhando por e para São Paulo. Nosso objetivo é dar mais qualidade de vida e oportunidade para toda a população. Com força, foco e fé, continuaremos avançando. Vote 45! #todosporsaopaulo  https://t.co/Rc7ZZ9qvf3",pt,[],[],['https://pbs.twimg.com/media/EnjzhX6XMAEaemt.jpg'],131,16,280,['todosporsaopaulo'],[],https://twitter.com/brunocovas/status/1331081454558851074,False,,1,https://pbs.twimg.com/media/EnjzhX6XMAEaemt.jpg,,,,,,,[],,,,
1331069447931629569,1331069447931629569,2020-11-23 23:57:41 -03,2020-11-23,23:57:41,-0300,18048666,brunocovas,Bruno Covas,,"""Eu fico muito feliz de tudo o que realizamos. Mas eu não estou satisfeito. É preciso fazer mais na cidade. Por isso, no próximo domingo, vote 45. Vote com a consciência tranquila. Nós vamos continuar a fazer o melhor pela cidade de São Paulo.""#RodaViva #QuemComparaVotaCOVAS",pt,[],[],[],80,12,297,"['rodaviva', 'quemcomparavotacovas']",[],https://twitter.com/brunocovas/status/1331069447931629569,False,,0,,,,,,,,[],,,,
1331068924591529986,1331068924591529986,2020-11-23 23:55:36 -03,2020-11-23,23:55:36,-0300,18048666,brunocovas,Bruno Covas,,"“Hoje você teve a oportunidade de poder comparar quem já fez por São Paulo e quem está preso no radicalismo ideológico. Eu pude falar um pouco das ações que nós realizamos de combate ao racismo, de ampliação das vagas em creche, de combate a pandemia do coronavírus."" #RodaViva",pt,[],[],[],99,33,475,['rodaviva'],[],https://twitter.com/brunocovas/status/1331068924591529986,False,,0,,,,,,,,[],,,,
1331062832583028742,1331062832583028742,2020-11-23 23:31:23 -03,2020-11-23,23:31:23,-0300,18048666,brunocovas,Bruno Covas,,"“Não tem mais sentido pensar que todo serviço público precisa ser prestado pela Prefeitura. Poder fazer convênio com essas entidades, seja na área da assistência, da cultura, da educação, do esporte e da saúde, é fundamental para a gente ter serviços de boa qualidade.” #RodaViva",pt,[],[],[],45,24,235,['rodaviva'],[],https://twitter.com/brunocovas/status/1331062832583028742,False,,0,,,,,,,,[],,,,
1331061582563045381,1331061582563045381,2020-11-23 23:26:25 -03,2020-11-23,23:26:25,-0300,18048666,brunocovas,Bruno Covas,,“Minha saúde é tratada com 100% de transparência. Faço sessões de imunoterapia a cada 3 semanas. Os médicos estão muito animados com os resultados. Estou liberado para continuar trabalhando.” #RodaViva #QuemComparaVotaCovas,pt,[],[],[],89,48,811,"['rodaviva', 'quemcomparavotacovas']",[],https://twitter.com/brunocovas/status/1331061582563045381,False,,0,,,,,,,,[],,,,
1331061365897895937,1331057936530100225,2020-11-23 23:25:34 -03,2020-11-23,23:25:34,-0300,18048666,brunocovas,Bruno Covas,,"@orlandosilva Orlando, semana que vem vamos fazer uma reunião na Prefeitura para tratarmos do tema. Topa?",pt,[],[],[],28,7,196,[],[],https://twitter.com/brunocovas/status/1331061365897895937,False,,0,,,,,,,,"[{'screen_name': 'orlandosilva', 'name': 'Orlando Silva 65', 'id': '304092926'}]",,,,
1331058101496270848,1331058101496270848,2020-11-23 23:12:35 -03,2020-11-23,23:12:35,-0300,18048666,brunocovas,Bruno Covas,,"“Em relação às ciclovias, eram 500 km. Até o fim do ano a gente requalifica 310 desses 500 km e vamos acrescentar 173,5 km. Então, pelos próximos 4 anos, a gente projeta mais 300 km de ciclovias na cidade de São Paulo.” #RodaViva #QuemComparaVotaCovas",pt,[],[],[],52,17,175,"['rodaviva', 'quemcomparavotacovas']",[],https://twitter.com/brunocovas/status/1331058101496270848,False,,0,,,,,,,,[],,,,
1331056904416751616,1331056904416751616,2020-11-23 23:07:50 -03,2020-11-23,23:07:50,-0300,18048666,brunocovas,Bruno Covas,,"“O problema do país é reconhecer política pública só de 4 em 4 anos. É preciso reconhecer as boas iniciativas de gestões passadas e poder ampliar quando isso é bom para a população, independente do nome.” #RodaViva #QuemComparaVotaCovas",pt,[],[],[],57,25,277,"['rodaviva', 'quemcomparavotacovas']",[],https://twitter.com/brunocovas/status/1331056904416751616,False,,0,,,,,,,,[],,,,
